NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Phase,Enrollment,Study Type,Allocation,Intervention Model,Start Date,Primary Completion Date,Completion Date,Results First Posted,Last Update Posted
NCT06747949,A Long-term Extension Study of Dazodalibep in Participants With Sjögren's Syndrome (SS),https://clinicaltrials.gov/study/NCT06747949,RECRUITING,Sjögren's Syndrome,Dazodalibep,Number of Participants with Treatment-emergent Adverse Events (TEAEs),Number of Participants with Anti-drug Antibodies (ADAs) During the Study|Plasma Concentration of Dazodalibep,Amgen,PHASE3,844,INTERVENTIONAL,NA,SINGLE_GROUP,2025-02-25,2029-12-11,2029-12-11,,2026-04-28
NCT06104124,A Study to Evaluate the Efficacy and Safety of Dazodalibep in Participants With Sjögren's Syndrome (SS) With Moderate-to-severe Systemic Disease Activity,https://clinicaltrials.gov/study/NCT06104124,COMPLETED,Sjogren's Syndrome,Dazodalibep|Placebo,Change from baseline in European Alliance of Associations for Rheumatology Sjögren's Syndrome Disease Activity Index (ESSDAI) Score,Proportion of participants achieving ESSDAI response|Change from baseline in Diary for Assessing Sjogren's Patient-Reported Outcome Index (DASPRI) dryness domain score|Change from baseline in ESSPRI dryness domain score|Change from baseline in DASPRI dryness domain score|Change from baseline in tender and swollen joint counts|Change from baseline in Patient-Reported Outcomes Measurement Information System Fatigue-Short Form 10a (PROMIS-Fatigue-SF-10a)|Change from baseline in ESSDAI score|Change from baseline in DASPRI total score|Change from baseline in ESSPRI total score|Change from baseline in total stimulated salivary flow|Number of participants With Treatment Emergent Adverse Events (TEAEs)|Number of participants With Treatment Emergent Serious Adverse Events (TESAEs)|Number of participants With Adverse Events of Special Interest (AESIs),Amgen,PHASE3,651,INTERVENTIONAL,RANDOMIZED,PARALLEL,2024-01-24,2026-07-23,2026-08-17,,2026-09-14
NCT04129164,A Study to Evaluate the Efficacy and Safety of VIB4920 in Participants With Sjögren's Syndrome,https://clinicaltrials.gov/study/NCT04129164,COMPLETED,Sjögren's Syndrome,VIB4920|Placebo,Population 1: Change From Baseline in ESSDAI at Day 169|Population 2: Change From Baseline in ESSPRI at Day 169,Population 1: Change From Baseline in ESSPRI at Day 169|Population 1: Number of Participants Who Achieved ESSDAI[3] and ESSDAI[4] Response at Day 169|Change From Baseline in The Functional Assessment of Chronic Illness Therapy (FACIT)-Fatigue Score at Day 169|Change From Baseline in Ocular Surface Disease Index (OSDI) at Day 169|Patient Global Impression of Severity (PGIS) Score at Day 169|Population 2: Number of Participants Who Achieved ESSPRI Response at Day 169|Number of Participants Who Experience Treatment-emergent Adverse Events (TEAEs)|Serum Concentration of VIB4920,Amgen,PHASE2,183,INTERVENTIONAL,RANDOMIZED,PARALLEL,2019-12-09,2022-09-01,2023-03-10,2025-04-30,2025-04-30
NCT06245408,A Safety and Efficacy Study of Dazodalibep in Participants With Sjögren's Syndrome (SS) With Moderate-to-Severe Symptom State,https://clinicaltrials.gov/study/NCT06245408,ACTIVE_NOT_RECRUITING,Sjögren's Syndrome (SS),Dazodalibep|Placebo,Change from baseline in ESSPRI score|Change from baseline in Diary for Assessing Sjogren's Patient Reported Index (DASPRI ) score,Proportion of participants achieving meaningful improvement in DASPRI|Proportion of participants achieving ESSPRI [1.5] response|Change from baseline in Patient-Reported Outcomes Measurement Information System Fatigue-Short Form 10a (PROMIS-Fatigue SF-10a)|Change from baseline in DASPRI Dryness|Change from baseline in ESSPRI Dryness|Change from baseline in DASPRI Pain|Change from baseline in ESSPRI Pain|Change from baseline in 36-item Short Form Survey (SF-36) Physical Component Summary (PCS) score|Change from baseline in DASPRI total score|Change from baseline in ESSPRI total score|Change from baseline in DASPRI Fatigue|Change from baseline in ESSPRI fatigue domain score|Change from baseline in total stimulated salivary flow|Number of participants With Treatment Emergent Adverse Events (TEAEs)|Number of participants With Treatment Emergent Serious Adverse Events (TESAEs)|Number of participants With Adverse Events of Special Interest (AESIs),Amgen,PHASE3,434,INTERVENTIONAL,RANDOMIZED,PARALLEL,2024-04-08,2026-10-22,2026-12-17,,2026-01-08
NCT02149420,PD of VAY736 in Patients With Primary Sjögren's Syndrome,https://clinicaltrials.gov/study/NCT02149420,COMPLETED,Primary Sjögren's Syndrome,VAY736|Placebo,Change in EULAR Sjögren's Syndrome Disease Activity Index (ESSDAI)|Overall Incidence of Adverse Events,Change in EULAR Sjögren's Syndrome Patient Response Index (ESSPRI)|Change in Short Form (36) Health Survey (SF-36)|Change in Multidimensional Fatigue Inventory (MFI)|Change in the Physician's Global Assessment of Overall Disease Activity by Means of Visual Analog Scale (VAS)|Change in the Patient's Global Assessment of Overall Disease Activity by Means of Visual Analog Scale (VAS)|VAY736 Serum Concentration - AUCinf|VAY736 Serum Concentration - AUClast|VAY736 Serum Concentration - CL|VAY736 Serum Concentration - Cmax|VAY736 Serum Concentration - T1/2|VAY736 Serum Concentration - Tmax|VAY736 Serum Concentration - Vz,Novartis Pharmaceuticals,PHASE2,27,INTERVENTIONAL,RANDOMIZED,PARALLEL,2014-05-23,2018-02-07,2018-02-07,2019-02-12,2021-10-04
NCT06293365,Two-period Crossover Study to Demonstrate the Comparability of Pharmacokinetics of Subcutaneous Ianalumab Between 2mL Auto-injector/2mL PFS with1mL Pre-filled Syringe in Adult Participants With Autoimmune Disease,https://clinicaltrials.gov/study/NCT06293365,ACTIVE_NOT_RECRUITING,Sjögrens Disease; Systemic Lupus Erythematosus; Rheumatoid Arthritis,VAY736 1ml PFS|VAY736 2 ml PFS|VAY736 2ml AI,Cohort 1: Area under the curve (AUC) calculated to the end of a dosing interval (tau) at steady-state (AUCtau) for ianalumab|Cohort 1: Maximum (peak) observed serum drug concentration after dose administration (Cmax) for ianalumab|Cohort 2: Area under the curve (AUC) calculated to the end of a dosing interval (tau) at steady-state (AUCtau) for ianalumab|Cohort 2: Maximum (peak) observed serum drug concentration after dose administration (Cmax) for ianalumab,Cohort 1: Time to reach maximum (peak) serum drug concentration following dose administration (Tmax) for ianalumab|Cohort 2: Time to reach maximum (peak) serum drug concentration following dose administration (Tmax) for ianalumab|Cohort 1: Concentration at the end of a dosing interval (Ctrough) for ianalumab|Cohort 2: Concentration at the end of a dosing interval (Ctrough) for ianalumab|Incidence and severity of Adverse Events (AEs) and Serious Adverse Events (SAEs)|Anti-ianalumab antibodies (ADA)|Incidence of ADA positive participants,Novartis Pharmaceuticals,PHASE2,155,INTERVENTIONAL,RANDOMIZED,CROSSOVER,2024-07-02,2026-02-17,2029-01-16,,2026-06-05
NCT02495129,Study of Pharmacodynamic Effects of VAY736 in Patients With Primary Sjögren's Syndrome,https://clinicaltrials.gov/study/NCT02495129,WITHDRAWN,Primary Sjögren's Syndrome,VAY736 lower dose|VAY736 higher dose,"Part 1: To determine the feasibility of measuring major salivary gland infiltrating B cells in pSS patients using [Zr- 89]rituximab PET/CT imaging|Part 2: To define the normal range of PET/CT imaging values for major salivary gland tissue, cervical lymph nodes and spleen in healthy volunteers with [Zr-89]-rituximab|Part 3: To compare the effect of two different VAY736 s.c. dose regimes on salivary gland-infiltrating B cells in pSS patients, using [Zr-89]-rituximab PET/CT imaging",Safety of multiple s.c. dosing of VAY736 in pSS patients as measured by safety assessments|To asses the pharmacokinetiks of VAY736 in pSS patients|To assess the pharmacokinetiks of VAY736 in pSS patients|Assess the pharmacodynamic effect of VAY736 on circulating CD19+ B-cells in pSS|Asses effect of two different VAY736 dose levels on target tissue structure and function in pSS|Asses effect of two different VAY736 dose levels on target tissue structure and function in pSS|Asses effect of two different VAY736 dose levels on target tissue structure and function in pSS|Asses effect of two different VAY736 dose levels on target tissue structure and function in pSS|To evaluate the effect of two different VAY736 dose levels (s.c. q4w) on pSS disease activity|To evaluate the effect of on self-reported outcomes in pSS patients|To evaluate the change in the physician global assessment of patients's overall disease activity|To evaluate the change in the patients global assessment of their disease activity|To assess the immunogenicity of VAY736|To assess the immunogenicity of a micodose of rituximab|To asses the pharmacokinetiks of VAY736 in pSS patients|To asses the pharmacokinetiks of VAY736 in pSS patients|To asses the pharmacokinetiks of VAY736 in pSS patients,Novartis Pharmaceuticals,PHASE1|PHASE2,0,INTERVENTIONAL,RANDOMIZED,PARALLEL,2015-12,2017-09,2017-09,,2017-04-20
NCT07621809,"Two Arm, Double-blind, Phase III Study Assessing Efficacy and Safety of Ianalumab Versus Placebo, in Participants With Sjögren's Disease With High Symptom Burden",https://clinicaltrials.gov/study/NCT07621809,RECRUITING,Sjögren´s Disease,VAY736|Placebo,Change from baseline in SSSD oral dryness score,Change from baseline in SSSD summary score|Change from baseline in ESSPRI score|Change from baseline in stimulated whole salivary flow (sSF)|Change from baseline in Patient's Global Assessment (PaGA) NRS score|Proportion of participants achieving SSSD response|Proportion of participants achieving ESSPRI response|Change from baseline in SSSD eye dryness score|Change from baseline in FACIT-Fatigue score|Change from baseline in Sjögren's-Related Quality of Life (SRQoL) score,Novartis Pharmaceuticals,PHASE3,570,INTERVENTIONAL,RANDOMIZED,PARALLEL,2026-07-16,2029-08-14,2033-08-13,,2026-09-09
NCT07244289,"Managed Access Programs for VAY736, Ianalumab",https://clinicaltrials.gov/study/NCT07244289,AVAILABLE,Primary Immune Thrombocytopenia; Sjögren's Syndrome,ianalumab,,,Novartis Pharmaceuticals,,,EXPANDED_ACCESS,,,,,,,2026-03-23
NCT05349214,Three-arm Study to Assess Efficacy and Safety of Ianalumab (VAY736) in Patients With Active Sjogren's Syndrome,https://clinicaltrials.gov/study/NCT05349214,ACTIVE_NOT_RECRUITING,Sjogren Syndrome,VAY736|Placebo,Plan A and B - Change from baseline in ESSDAI score at Week 48,Change from baseline in SSSD score at Week 48|Percentage of participants achieving ESSDAI response at Week 48**|Percentage of participants achieving ESSDAI score <5 at Week 48|Percentage of participants achieving SSSD response at Week 48**|Change from baseline in stimulated whole salivary flow rate at Week 48|Change from baseline in PhGA at Week 48|Change from baseline in PaGA at Week 48|Change from baseline in FACIT-F score at Week 48|Change from baseline in ESSPRI score at Week 48|Percentage of participants achieving ESSPRI response at Week 48**,Novartis Pharmaceuticals,PHASE3,506,INTERVENTIONAL,RANDOMIZED,PARALLEL,2022-08-04,2025-05-13,2027-04-15,,2026-06-17
